Link,Name,PS4 Price,XBox Price,PC Price,Club,Nation,League,Skills,Weak Foot,Intl. Rep,Foot,Height,Weight,Revision,Def. WR,Att. WR,Added on,Origin,R.Face,B.Type,DOB
https://www.futbin.com/21/player/202/johan-cruyff,Johan Cruyff,"3,590,000","2,870,000","5,000,000",FUT 21 ICONS,Netherlands,Icons,5 ,5 ,3 ,Right ,"180cm | 5'11"" ",66 ,Icon,Low,High,2020-09-10,Base,true,Lean,25-04-1947
https://www.futbin.com/21/player/197/miroslav-klose,Miroslav Klose,"169,000","174,000","298,000",FUT 21 ICONS,Germany,Icons,3 ,4 ,4 ,Right ,"184cm | 6'0"" ",81 ,Icon,Med,High,2020-09-10,Medium,true,Lean,09-06-1978
https://www.futbin.com/21/player/193/pavel-nedved,Pavel Nedvěd,"485,000","500,000","638,000",FUT 21 ICONS,Czech Republic,Icons,4 ,5 ,4 ,Right ,"177cm | 5'10"" ",71 ,Icon,Med,High,2020-09-10,Medium,false,Average,30-08-1972
https://www.futbin.com/21/player/199/socrates,Sócrates Vieira de Oliveira,"560,000","540,000","790,000",FUT 21 ICONS,Brazil,Icons,4 ,5 ,4 ,Right ,"192cm | 6'4"" ",79 ,Icon,Med,High,2020-09-10,Medium,true,High & Average+,19-02-1954
https://www.futbin.com/21/player/31/michael-owen,Michael Owen,"600,000","590,000","615,000",FUT 21 ICONS,England,Icons,3 ,4 ,5 ,Right ,"173cm | 5'8"" ",70 ,Icon,Med,Med,2020-09-10,Prime,false,Average,14-12-1979
https://www.futbin.com/21/player/26/michael-ballack,Michael Ballack,"1,370,000","1,190,000","2,200,000",FUT 21 ICONS,Germany,Icons,4 ,4 ,4 ,Right ,"188cm | 6'2"" ",85 ,Icon,High,Med,2020-09-10,Prime,true,High & Average,26-09-1976
https://www.futbin.com/21/player/94/lev-yashin,Lev Yashin,"375,000","370,000","549,000",FUT 21 ICONS,Russia,Icons,1 ,3 ,4 ,Right ,"189cm | 6'2"" ",82 ,Icon,Med,Med,2020-09-10,Medium,false,High & Average,22-10-1929
https://www.futbin.com/21/player/91/diego-maradona,Diego Maradona,"2,475,000","2,110,000","2,860,000",FUT 21 ICONS,Argentina,Icons,5 ,3 ,5 ,Left ,"165cm | 5'5"" ",68 ,Icon,Med,High,2020-09-10,Base,false,Base Maradona,30-10-1960
https://www.futbin.com/21/player/19/clarence-seedorf,Clarence Seedorf,"855,000","805,000","1,120,000",FUT 21 ICONS,Netherlands,Icons,4 ,4 ,4 ,Right ,"176cm | 5'9"" ",78 ,Icon,Med,Med,2020-09-10,Prime,true,Stocky,01-04-1976
https://www.futbin.com/21/player/4/paul-scholes,Paul Scholes,"400,000","470,000","429,000",FUT 21 ICONS,England,Icons,3 ,3 ,4 ,Right ,"171cm | 5'7"" ",71 ,Icon,Med,High,2020-09-10,Prime,true,Short & Lean-,16-11-1974
https://www.futbin.com/21/player/1/alan-shearer,Alan Shearer,"234,000","308,000","265,000",FUT 21 ICONS,England,Icons,2 ,3 ,5 ,Right ,"182cm | 6'0"" ",78 ,Icon,Med,High,2020-09-10,Prime,false,Average,13-08-1970
https://www.futbin.com/21/player/28004/mohamed-salah,Mohamed Salah,"1,095,000","922,000","1,250,000",Liverpool,Egypt,Premier League,4 ,3 ,3 ,Left ,"175cm | 5'9"" ",71 ,SIF,Med,High,2021-02-03,TOTW19,true,Salah,15-06-1992
https://www.futbin.com/21/player/27951/neymar-jr,Neymar da Silva Santos Jr.,"2,269,000","1,645,000","2,399,000",Paris SG,Brazil,Ligue 1 Conforama,5 ,5 ,5 ,Right ,"175cm | 5'9"" ",68 ,IF,Med,High,2021-01-27,TOTW18,true,Neymar,05-02-1992
https://www.futbin.com/21/player/27950/karim-benzema,Karim Benzema,"112,000","100,000","118,000",Real Madrid,France,LaLiga Santander,4 ,4 ,4 ,Right ,"185cm | 6'1"" ",81 ,TIF,Low,Med,2021-01-27,TOTW18,true,Average,19-12-1987
https://www.futbin.com/21/player/179/franco-baresi,Franco Baresi,"267,000","297,000","320,000",FUT 21 ICONS,Italy,Icons,2 ,3 ,5 ,Right ,"176cm | 5'9"" ",71 ,Icon,High,Med,2020-09-10,Medium,true,Average,08-05-1960
https://www.futbin.com/21/player/27279/bruno-fernandes,Bruno Miguel Borges Fernandes,"1,180,100","1,134,850","1,354,850",Manchester Utd,Portugal,Premier League,4 ,4 ,2 ,Right ,"179cm | 5'10"" ",69 ,PL POTM SBC,High,High,2021-01-15,,true,Lean,08-09-1994
https://www.futbin.com/21/player/26857/sadio-mane,Sadio Mané,"2,178,000","1,777,000","2,788,000",Liverpool,Senegal,Premier League,4 ,4 ,3 ,Right ,"175cm | 5'9"" ",69 ,FUT Freeze,Low,High,2020-12-11,Freeze,true,Unique,10-04-1992
https://www.futbin.com/21/player/33/luis-figo,Luís Filipe Madeira Caeiro Figo,"1,370,000","1,205,000","1,785,000",FUT 21 ICONS,Portugal,Icons,4 ,4 ,5 ,Right ,"180cm | 5'11"" ",75 ,Icon,Low,High,2020-09-10,Prime,true,Average,04-11-1972
https://www.futbin.com/21/player/26796/kevin-de-bruyne,Kevin De Bruyne,"429,000","409,000","495,000",Manchester City,Belgium,Premier League,4 ,5 ,4 ,Right ,"181cm | 5'11"" ",70 ,TOTGS,High,High,2020-12-04,TOTGS,true,Unique,28-06-1991
https://www.futbin.com/21/player/25824/cristiano-ronaldo,C. Ronaldo dos Santos Aveiro,"1,154,000","868,000","1,415,000",Piemonte Calcio,Portugal,Serie A TIM,5 ,4 ,5 ,Right ,"187cm | 6'2"" ",83 ,CL,Low,High,2020-10-20,,true,CR7,05-02-1985
https://www.futbin.com/21/player/25207/robert-lewandowski,Robert Lewandowski,"130,000","133,000","200,000",FC Bayern,Poland,Bundesliga,4 ,4 ,4 ,Right ,"184cm | 6'0"" ",80 ,IF,Med,High,2020-10-07,TOTW2,true,Unique,21-08-1988
https://www.futbin.com/21/player/26551/mohamed-salah,Mohamed Salah,"1,705,000","1,500,000","2,134,000",Liverpool,Egypt,Premier League,4 ,3 ,3 ,Left ,"175cm | 5'9"" ",71 ,UCL Live,Med,High,2020-11-06,RTTF1,true,Salah,15-06-1992
https://www.futbin.com/21/player/989/ferenc-puskas,Ferenc Puskás,"2,220,000","2,290,000","2,650,000",FUT 21 ICONS,Hungary,Icons,4 ,3 ,1 ,Left ,"172cm | 5'8"" ",75 ,Icon,Med,High,2020-09-17,Medium,false,Stocky,01-04-1927
https://www.futbin.com/21/player/991/samuel-eto-o,Samuel Eto'o,"3,919,000","3,165,000","4,380,000",FUT 21 ICONS,Cameroon,Icons,4 ,4 ,5 ,Right ,"179cm | 5'10"" ",75 ,Icon,Low,High,2020-09-17,Prime,false,Lean,10-03-1981
https://www.futbin.com/21/player/542/cristiano-ronaldo,C. Ronaldo dos Santos Aveiro,"1,155,000","862,000","1,395,000",Piemonte Calcio,Portugal,Serie A TIM,5 ,4 ,5 ,Right ,"187cm | 6'2"" ",83 ,Rare,Low,High,2020-09-10,,true,CR7,05-02-1985
https://www.futbin.com/21/player/252/kenny-dalglish,Kenny Dalglish,"2,400,000","1,940,000","2,600,000",FUT 21 ICONS,Scotland,Icons,4 ,5 ,4 ,Right ,"173cm | 5'8"" ",73 ,Icon,Med,High,2020-09-10,Prime,false,Average,04-03-1951
https://www.futbin.com/21/player/126/paolo-maldini,Paolo Maldini,"2,215,000","1,650,000","2,800,000",FUT 21 ICONS,Italy,Icons,2 ,4 ,4 ,Right ,"186cm | 6'1"" ",83 ,Icon,High,Med,2020-09-10,Medium,false,Average,26-06-1968
https://www.futbin.com/21/player/247/garrincha,Manuel Franc. dos Santos,"1,835,000","1,410,000","2,249,000",FUT 21 ICONS,Brazil,Icons,5 ,4 ,4 ,Right ,"169cm | 5'7"" ",71 ,Icon,Low,Med,2020-09-10,Medium,false,Short & Lean-,28-10-1933
https://www.futbin.com/21/player/114/peter-schmeichel,Peter Schmeichel,"428,000","490,000","559,000",FUT 21 ICONS,Denmark,Icons,1 ,3 ,4 ,Right ,"193cm | 6'4"" ",92 ,Icon,Med,Med,2020-09-10,Prime,false,High & Stocky,18-11-1963
https://www.futbin.com/21/player/261/zinedine-zidane,Zinedine Zidane,"2,600,000","2,050,000","3,400,000",FUT 21 ICONS,France,Icons,5 ,5 ,4 ,Right ,"185cm | 6'1"" ",77 ,Icon,Med,High,2020-09-10,Base,false,High & Average,23-06-1972
https://www.futbin.com/21/player/102/dennis-bergkamp,Dennis Bergkamp,"630,000","635,000","779,000",FUT 21 ICONS,Netherlands,Icons,4 ,4 ,4 ,Right ,"183cm | 6'0"" ",78 ,Icon,Med,Med,2020-09-10,Prime,false,Average,10-05-1969
https://www.futbin.com/21/player/99/carles-puyol-saforcada,Carles Puyol Saforcada,"469,000","510,000","665,000",FUT 21 ICONS,Spain,Icons,2 ,3 ,4 ,Right ,"178cm | 5'10"" ",80 ,Icon,High,Med,2020-09-10,Prime,false,Stocky,13-04-1978
https://www.futbin.com/21/player/68/bobby-moore,Bobby Moore,"313,000","369,000","399,000",FUT 21 ICONS,England,Icons,2 ,3 ,5 ,Right ,"178cm | 5'10"" ",72 ,Icon,Med,Med,2020-09-10,Prime,true,Average,12-04-1941
https://www.futbin.com/21/player/185/paul-scholes,Paul Scholes,"220,000","279,000","318,000",FUT 21 ICONS,England,Icons,3 ,3 ,4 ,Right ,"171cm | 5'7"" ",72 ,Icon,Med,High,2020-09-10,Medium,true,Short & Lean-,16-11-1974
https://www.futbin.com/21/player/181/bobby-moore,Bobby Moore,"184,000","220,000","239,000",FUT 21 ICONS,England,Icons,2 ,3 ,4 ,Right ,"178cm | 5'10"" ",73 ,Icon,Med,Med,2020-09-10,Medium,true,Average,12-04-1941
https://www.futbin.com/21/player/174/gary-lineker,Gary Lineker,"307,000","320,000","380,000",FUT 21 ICONS,England,Icons,3 ,4 ,3 ,Right ,"177cm | 5'10"" ",73 ,Icon,Low,High,2020-09-10,Medium,true,Average,30-11-1960
https://www.futbin.com/21/player/173/ryan-giggs,Ryan Giggs,"157,000","190,000","195,000",FUT 21 ICONS,Wales,Icons,3 ,2 ,4 ,Left ,"179cm | 5'10"" ",71 ,Icon,Med,Med,2020-09-10,Medium,true,Lean,29-11-1973
https://www.futbin.com/21/player/189/alan-shearer,Alan Shearer,"163,000","200,000","219,000",FUT 21 ICONS,England,Icons,2 ,3 ,4 ,Right ,"182cm | 6'0"" ",76 ,Icon,Med,High,2020-09-10,Medium,false,Average,13-08-1970
https://www.futbin.com/21/player/145/fabio-cannavaro,Fabio Cannavaro,"506,000","470,000","547,000",FUT 21 ICONS,Italy,Icons,2 ,3 ,5 ,Right ,"176cm | 5'9"" ",75 ,Icon,High,Low,2020-09-10,Medium,true,Average,13-09-1973
https://www.futbin.com/21/player/67/pele,Edson Arantes Nascimento,"4,499,000","3,455,000",0,FUT 21 ICONS,Brazil,Icons,5 ,4 ,5 ,Right ,"172cm | 5'8"" ",68 ,Icon,Med,High,2020-09-10,Base,false,Unique,23-10-1940
https://www.futbin.com/21/player/8/rui-manuel-cesar-costa,Rui Manuel César Costa,"427,000","410,000","535,000",FUT 21 ICONS,Portugal,Icons,4 ,4 ,4 ,Right ,"180cm | 5'11"" ",74 ,Icon,Med,Med,2020-09-10,Prime,false,Average,29-03-1972
https://www.futbin.com/21/player/6/jay-jay-okocha,Jay-Jay Okocha,"588,000","515,000","647,000",FUT 21 ICONS,Nigeria,Icons,5 ,4 ,3 ,Right ,"173cm | 5'8"" ",70 ,Icon,Low,Med,2020-09-10,Prime,false,Average,14-08-1973
https://www.futbin.com/21/player/15/marcel-desailly,Marcel Desailly,"1,750,000","1,495,000","2,330,000",FUT 21 ICONS,France,Icons,2 ,3 ,4 ,Right ,"185cm | 6'1"" ",81 ,Icon,High,Med,2020-09-10,Prime,false,High & Average+,07-09-1968
https://www.futbin.com/21/player/28030/camavinga,Eduardo Camavinga,"2,485,000","1,940,000","2,550,000",Rennes,France,Ligue 1 Conforama,3 ,3 ,1 ,Left ,"182cm | 6'0"" ",68 ,FUT Future Stars,High,High,2021-02-05,FutureStars,false,Lean,10-11-2002
https://www.futbin.com/21/player/2/roy-keane,Roy Keane,"500,000","519,000","549,000",FUT 21 ICONS,Republic of Ireland,Icons,2 ,3 ,4 ,Right ,"180cm | 5'11"" ",76 ,Icon,High,Med,2020-09-10,Prime,true,Average,10-08-1971
https://www.futbin.com/21/player/27990/ciro-immobile,Ciro Immobile,"285,000","270,000","310,000",Lazio,Italy,Serie A TIM,3 ,4 ,3 ,Right ,"185cm | 6'1"" ",85 ,TOTY Honourable Ment,Med,High,2021-01-29,,true,Unique,20-02-1990
https://www.futbin.com/21/player/27988/andrew-robertson,Andrew Robertson,"455,000","450,000","485,000",Liverpool,Scotland,Premier League,3 ,2 ,3 ,Left ,"178cm | 5'10"" ",64 ,TOTY Honourable Ment,High,High,2021-01-29,,true,Unique,11-03-1994
https://www.futbin.com/21/player/27759/paulo-dybala,Paulo Dybala,"216,150","210,300","244,300",Piemonte Calcio,Argentina,Serie A TIM,4 ,3 ,3 ,Left ,"177cm | 5'10"" ",75 ,Player Moments SBC,Med,Med,2021-01-24,,true,Unique,15-11-1993
https://www.futbin.com/21/player/27753/luis-suarez,Luis Suárez,0,0,0,Atlético de Madrid,Uruguay,LaLiga Santander,4 ,4 ,5 ,Right ,"182cm | 6'0"" ",86 ,Player Moments,Med,High,2021-01-22,,true,Unique,24-01-1987
https://www.futbin.com/21/player/27208/joshua-kimmich,Joshua Kimmich,"420,000","380,000","545,000",FC Bayern,Germany,Bundesliga,3 ,4 ,3 ,Right ,"176cm | 5'9"" ",73 ,SIF,Med,High,2021-01-06,TOTW15,true,Lean,08-02-1995
https://www.futbin.com/21/player/97/alessandro-del-piero,Alessandro Del Piero,"780,000","749,000","969,000",FUT 21 ICONS,Italy,Icons,4 ,5 ,5 ,Right ,"174cm | 5'9"" ",74 ,Icon,Med,Med,2020-09-10,Prime,false,Unique,09-11-1974
https://www.futbin.com/21/player/27096/karim-benzema,Karim Benzema,"107,000","98,000","123,000",Real Madrid,France,LaLiga Santander,4 ,4 ,4 ,Right ,"185cm | 6'1"" ",81 ,SIF,Low,Med,2020-12-23,TOTW13,true,Average,19-12-1987
https://www.futbin.com/21/player/22/robert-pires,Robert Pirès,"302,000","339,000","330,000",FUT 21 ICONS,France,Icons,4 ,4 ,4 ,Right ,"187cm | 6'2"" ",74 ,Icon,Med,Med,2020-09-10,Prime,true,High & Average+,29-10-1973
https://www.futbin.com/21/player/24/thierry-henry,Thierry Henry,"2,400,000","2,000,000","2,995,000",FUT 21 ICONS,France,Icons,4 ,4 ,5 ,Right ,"188cm | 6'2"" ",83 ,Icon,Med,Med,2020-09-10,Prime,true,High & Average,17-08-1977
https://www.futbin.com/21/player/14/roberto-baggio,Roberto Baggio,"880,000","749,000","970,000",FUT 21 ICONS,Italy,Icons,5 ,4 ,5 ,Right ,"174cm | 5'9"" ",73 ,Icon,Low,Med,2020-09-10,Prime,false,Unique,18-02-1967
https://www.futbin.com/21/player/78/gary-lineker,Gary Lineker,"485,000","480,000","620,000",FUT 21 ICONS,England,Icons,3 ,4 ,4 ,Right ,"177cm | 5'10"" ",74 ,Icon,Low,High,2020-09-10,Prime,true,Average,30-11-1960
https://www.futbin.com/21/player/27206/cristiano-ronaldo,C. Ronaldo dos Santos Aveiro,"4,190,000","3,115,000","5,500,000",Piemonte Calcio,Portugal,Serie A TIM,5 ,4 ,5 ,Right ,"187cm | 6'2"" ",83 ,SIF,Low,High,2021-01-06,TOTW15,true,CR7,05-02-1985
https://www.futbin.com/21/player/26570/lionel-messi,Lionel Messi,"1,079,000","936,000","1,334,000",FC Barcelona,Argentina,LaLiga Santander,4 ,4 ,5 ,Left ,"170cm | 5'7"" ",72 ,IF,Low,Med,2020-11-11,TOTW7,true,Messi,24-06-1987
https://www.futbin.com/21/player/988/ferenc-puskas,Ferenc Puskás,"3,398,000","3,087,000","3,950,000",FUT 21 ICONS,Hungary,Icons,4 ,3 ,4 ,Left ,"172cm | 5'8"" ",72 ,Icon,Med,High,2020-09-17,Prime,false,Stocky,01-04-1927
https://www.futbin.com/21/player/246/mane-garrincha,Mané Garrincha,"2,850,000","2,649,000",0,FUT 21 ICONS,Brazil,Icons,5 ,4 ,5 ,Right ,"169cm | 5'7"" ",72 ,Icon,Low,Med,2020-09-10,Prime,false,Short & Lean-,28-10-1933
https://www.futbin.com/21/player/27948/trent-alexander-arnold,Trent Alexander-Arnold,"1,098,000","1,026,000","1,385,000",Liverpool,England,Premier League,3 ,4 ,2 ,Right ,"180cm | 5'11"" ",69 ,TOTY,Med,High,2021-01-26,TOTY,true,Unique,07-10-1998
https://www.futbin.com/21/player/125/paolo-maldini,Paolo Maldini,"5,025,000","4,551,000",0,FUT 21 ICONS,Italy,Icons,2 ,4 ,4 ,Right ,"186cm | 6'1"" ",83 ,Icon,High,Med,2020-09-10,Prime,false,Average,26-06-1968
https://www.futbin.com/21/player/95/lev-yashin,Lev Yashin,"870,000","709,000","1,153,000",FUT 21 ICONS,Russia,Icons,1 ,3 ,4 ,Right ,"189cm | 6'2"" ",82 ,Icon,Med,Med,2020-09-10,Prime,true,High & Average,22-10-1929
https://www.futbin.com/21/player/84/ronaldo,Ronaldo Luís Nazário de Lima,"8,220,000","6,395,000","9,560,000",FUT 21 ICONS,Brazil,Icons,5 ,5 ,5 ,Right ,"183cm | 6'0"" ",82 ,Icon,Low,Med,2020-09-10,Medium,false,R9,22-09-1976
https://www.futbin.com/21/player/69/johan-cruyff,Johan Cruyff,"6,768,000","5,380,000",0,FUT 21 ICONS,Netherlands,Icons,5 ,5 ,5 ,Right ,"180cm | 5'11"" ",71 ,Icon,Low,High,2020-09-10,Prime,true,Lean,25-04-1947
https://www.futbin.com/21/player/50/ronaldinho,Ronaldo de Assis Moreira,"6,800,000","5,477,000",0,FUT 21 ICONS,Brazil,Icons,5 ,4 ,5 ,Right ,"180cm | 5'11"" ",78 ,Icon,Low,High,2020-09-10,Prime,false,Ronaldinho,21-03-1980
https://www.futbin.com/21/player/26795/lionel-messi,Lionel Messi,"1,729,000","1,450,000","2,050,000",FC Barcelona,Argentina,LaLiga Santander,4 ,4 ,5 ,Left ,"170cm | 5'7"" ",72 ,TOTGS,Low,Med,2020-12-04,TOTGS,true,Messi,24-06-1987
https://www.futbin.com/21/player/92/diego-maradona,Diego Maradona,"2,299,000","1,955,000","3,000,000",FUT 21 ICONS,Argentina,Icons,5 ,3 ,5 ,Left ,"165cm | 5'5"" ",72 ,Icon,Med,High,2020-09-10,Medium,false,Maradona,30-10-1960
